rocket_family,mission,rocket,provider,launch_date,launch_site,location,status
Sputnik 8K74PS,Sputnik 1,Sputnik 8K74PS,Soviet Space Program,1957-10-04 19:28:34+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Sputnik 8K74PS,Sputnik 2,Sputnik 8K74PS,Soviet Space Program,1957-11-03 02:30:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vanguard,Vanguard,Vanguard,US Navy,1957-12-06 16:44:35+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Juno-I,Explorer 1,Juno-I,Army Ballistic Missile Agency,1958-02-01 03:47:56+00:00,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",Launch Successful
Vanguard,Vanguard,Vanguard,US Navy,1958-02-05 07:33:00+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Juno-I,Explorer 2,Juno-I,Army Ballistic Missile Agency,1958-03-05 18:27:57+00:00,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",Launch Failure
Vanguard,Vanguard,Vanguard,US Navy,1958-03-17 12:15:41+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful
Juno-I,Explorer 3,Juno-I,Army Ballistic Missile Agency,1958-03-26 17:38:01+00:00,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",Launch Successful
Sputnik 8A91,D-1 1,Sputnik 8A91,Soviet Space Program,1958-04-27 07:00:35+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Vanguard,Vanguard,Vanguard,US Navy,1958-04-29 02:53:00+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Sputnik 8A91,D1- 2,Sputnik 8A91,Soviet Space Program,1958-05-15 07:00:35+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vanguard,Vanguard,Vanguard,US Navy,1958-05-28 03:46:20+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Vanguard,Vanguard,Vanguard,US Navy,1958-06-26 05:00:52+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Project Pilot,NOTS 1,Project Pilot,US Navy,1958-07-25 00:00:00+00:00,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure
Juno-I,Explorer 4,Juno-I,Army Ballistic Missile Agency,1958-07-26 15:00:57+00:00,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful
Project Pilot,NOTS 2,Project Pilot,US Navy,1958-08-12 00:00:00+00:00,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure
Thor Able I,Able I (Pioneer),Thor Able I,Army Ballistic Missile Agency,1958-08-17 12:18:00+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure
Project Pilot,NOTS 3,Project Pilot,US Navy,1958-08-22 00:00:00+00:00,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure
Juno-I,Explorer 5,Juno-I,Army Ballistic Missile Agency,1958-08-24 06:17:22+00:00,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Failure
Project Pilot,NOTS 4,Project Pilot,US Navy,1958-08-25 00:00:00+00:00,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure
Project Pilot,NOTS 5,Project Pilot,US Navy,1958-08-26 00:00:00+00:00,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure
Project Pilot,NOTS 6,Project Pilot,US Navy,1958-08-28 00:00:00+00:00,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure
Vostok-L 8K72,Luna-1a,Vostok-L 8K72,Soviet Space Program,1958-09-23 07:40:23+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Vanguard,Vanguard,Vanguard,US Navy,1958-09-26 15:38:00+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Able I,Pioneer 1,Thor Able I,Army Ballistic Missile Agency,1958-10-11 08:42:13+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok-L 8K72,Luna-1b,Vostok-L 8K72,Soviet Space Program,1958-10-11 21:41:58+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Juno-I,Beacon,Juno-I,Army Ballistic Missile Agency,1958-10-23 03:21:04+00:00,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Able I,Pioneer 2,Thor Able I,Army Ballistic Missile Agency,1958-11-08 07:30:21+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure
Vostok-L 8K72,Luna-1c,Vostok-L 8K72,Soviet Space Program,1958-12-04 18:18:45+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Juno II,Pioneer 3,Juno II,National Aeronautics and Space Administration,1958-12-06 05:44:52+00:00,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas B,SCORE,Atlas B,US Army,1958-12-18 23:02:00+00:00,Launch Complex 11,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok-L 8K72,Luna-1,Vostok-L 8K72,Soviet Space Program,1959-01-02 16:41:21+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vanguard,Vanguard II,Vanguard,US Navy,1959-02-17 15:55:00+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Agena A,Discoverer 1,Thor Agena A,United States Air Force,1959-02-28 21:49:16+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Juno II,Pioneer 4,Juno II,National Aeronautics and Space Administration,1959-03-03 05:10:56+00:00,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Agena A,Discoverer 2,Thor Agena A,United States Air Force,1959-04-13 21:18:39+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Vanguard,Vanguard,Vanguard,US Navy,1959-04-14 02:49:46+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Agena A,Discoverer 3,Thor Agena A,United States Air Force,1959-06-03 20:09:20+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Vostok-L 8K72,Luna-2a,Vostok-L 8K72,Soviet Space Program,1959-06-18 08:08:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Vanguard,Vanguard,Vanguard,US Navy,1959-06-22 20:16:09+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Agena A,Discoverer 4,Thor Agena A,United States Air Force,1959-06-25 22:47:45+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Failure
Juno II,NASA S-1,Juno II,National Aeronautics and Space Administration,1959-07-16 17:37:03+00:00,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Able III,Explorer 6,Thor Able III,United States Air Force,1959-08-07 14:24:20+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Agena A,Discoverer 5,Thor Agena A,United States Air Force,1959-08-13 19:00:08+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Juno II,Beacon,Juno II,National Aeronautics and Space Administration,1959-08-15 00:31:00+00:00,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Agena A,Discoverer 6,Thor Agena A,United States Air Force,1959-08-19 19:24:44+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Little Joe,LJ-1,Little Joe,National Aeronautics and Space Administration,1959-08-21 12:00:00+00:00,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch Failure
Atlas LV-3B,Big Joe 1,Atlas LV-3B,National Aeronautics and Space Administration,1959-09-09 08:19:00+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch was a Partial Failure
Vostok-L 8K72,Luna-2,Vostok-L 8K72,Soviet Space Program,1959-09-12 06:39:42+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Able II,Transit 1A,Thor Able II,United States Air Force,1959-09-17 14:34:00+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure
Vanguard,Vanguard III,Vanguard,US Navy,1959-09-18 05:20:07+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok-L 8K72,Luna-3,Vostok-L 8K72,Soviet Space Program,1959-10-04 00:43:39+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Little Joe,LJ-6,Little Joe,National Aeronautics and Space Administration,1959-10-04 10:00:00+00:00,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch was a Partial Failure
Juno II,Explorer 7,Juno II,National Aeronautics and Space Administration,1959-10-13 15:30:04+00:00,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful
Little Joe,LJ-1A,Little Joe,National Aeronautics and Space Administration,1959-11-04 14:30:00+00:00,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch was a Partial Failure
Thor Agena A,Discoverer 7,Thor Agena A,United States Air Force,1959-11-07 20:28:41+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Thor Agena A,Discoverer 8,Thor Agena A,United States Air Force,1959-11-20 19:25:24+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Atlas-Able,P-3,Atlas-Able,United States Air Force,1959-11-26 07:26:00+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Failure
Little Joe,LJ-2,Little Joe,National Aeronautics and Space Administration,1959-12-04 16:20:00+00:00,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch Successful
Little Joe,LJ-1B,Little Joe,National Aeronautics and Space Administration,1960-01-21 14:23:00+00:00,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch Successful
Thor Agena A,Discoverer 9,Thor Agena A,United States Air Force,1960-02-04 18:51:45+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Thor Agena A,Discoverer 10,Thor Agena A,United States Air Force,1960-02-19 20:15:14+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Failure
Atlas Agena A,Midas 1,Atlas Agena A,United States Air Force,1960-02-26 17:25:30+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Able IV,Pioneer V,Thor Able IV,United States Air Force,1960-03-11 13:00:07+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Juno II,NASA S-46,Juno II,National Aeronautics and Space Administration,1960-03-23 13:35:11+00:00,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Able II,Tiros 1,Thor Able II,United States Air Force,1960-04-01 11:40:09+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Ablestar,Transit 1B,Thor DM-21 Ablestar,United States Air Force,1960-04-13 12:02:36+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok-L 8K72,Luna-4a,Vostok-L 8K72,Soviet Space Program,1960-04-15 15:06:45+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor Agena A,Discoverer 11,Thor Agena A,United States Air Force,1960-04-15 20:30:37+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Vostok-L 8K72,Luna-4b,Vostok-L 8K72,Soviet Space Program,1960-04-16 16:07:41+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Thor Delta,Echo,Thor Delta,United States Air Force,1960-05-13 09:16:05+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure
Vostok 8K72,Korabl'-Sputnik-1,Vostok 8K72,Soviet Space Program,1960-05-15 00:00:05+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Atlas Agena A,Midas 2,Atlas Agena A,United States Air Force,1960-05-24 17:36:46+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor DM-21 Ablestar,Transit 2A,Thor DM-21 Ablestar,United States Air Force,1960-06-22 05:54:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Agena A,Discoverer 12,Thor Agena A,United States Air Force,1960-06-29 22:00:44+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Vostok 8K72,Korabl-Sputnik (2),Vostok 8K72,Soviet Space Program,1960-07-28 09:31:00+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Atlas LV-3B,Mercury-Atlas 1,Atlas LV-3B,National Aeronautics and Space Administration,1960-07-29 13:13:00+00:00,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Agena A,Discoverer 13,Thor Agena A,United States Air Force,1960-08-10 20:37:54+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Thor Delta,Echo 1,Thor Delta,United States Air Force,1960-08-12 09:39:43+00:00,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Agena A,Discoverer 14,Thor Agena A,United States Air Force,1960-08-18 19:57:08+00:00,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Thor DM-21 Ablestar,Courier 1A,Thor DM-21 Ablestar,United States Air Force,1960-08-18 19:58:00+00:00,Space Launch Complex 17B,"Cape Canaveral SFS, FL, USA",Launch Failure
Vostok 8K72,Korabl'-Sputnik-2,Vostok 8K72,Soviet Space Program,1960-08-19 08:44:06+00:00,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Thor Agena A,Discoverer 15,Thor Agena A,United States Air Force,1960-09-13 22:13:39+00:00,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Blue Scout Jr,Blue Scout D-1,Blue Scout Jr,United States Air Force,1960-09-21 13:01:53+00:00,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas-Able,P-30 (Able VA),Atlas-Able,United States Air Force,1960-09-25 15:13:17+00:00,Launch Complex 12,"Cape Canaveral SFS, FL, USA",Launch Failure
