name,launch_date,provider,rocket,launch_site,location,status
Sputnik 8K74PS | Sputnik 1,1957-10-04T19:28:34Z,Soviet Space Program,Sputnik 8K74PS,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Sputnik 8K74PS | Sputnik 2,1957-11-03T02:30:00Z,Soviet Space Program,Sputnik 8K74PS,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vanguard | Vanguard,1957-12-06T16:44:35Z,US Navy,Vanguard,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Juno-I | Explorer 1,1958-02-01T03:47:56Z,Army Ballistic Missile Agency,Juno-I,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",Launch Successful
Vanguard | Vanguard,1958-02-05T07:33:00Z,US Navy,Vanguard,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Juno-I | Explorer 2,1958-03-05T18:27:57Z,Army Ballistic Missile Agency,Juno-I,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",Launch Failure
Vanguard | Vanguard,1958-03-17T12:15:41Z,US Navy,Vanguard,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful
Juno-I | Explorer 3,1958-03-26T17:38:01Z,Army Ballistic Missile Agency,Juno-I,Launch Complex 26A,"Cape Canaveral SFS, FL, USA",Launch Successful
Sputnik 8A91 | D-1 1,1958-04-27T07:00:35Z,Soviet Space Program,Sputnik 8A91,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Vanguard | Vanguard,1958-04-29T02:53:00Z,US Navy,Vanguard,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Sputnik 8A91 | D1- 2,1958-05-15T07:00:35Z,Soviet Space Program,Sputnik 8A91,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vanguard | Vanguard,1958-05-28T03:46:20Z,US Navy,Vanguard,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Vanguard | Vanguard,1958-06-26T05:00:52Z,US Navy,Vanguard,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Project Pilot | NOTS 1,1958-07-25T00:00:00Z,US Navy,Project Pilot,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure
Juno-I | Explorer 4,1958-07-26T15:00:57Z,Army Ballistic Missile Agency,Juno-I,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful
Project Pilot | NOTS 2,1958-08-12T00:00:00Z,US Navy,Project Pilot,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure
Thor Able I | Able I (Pioneer),1958-08-17T12:18:00Z,Army Ballistic Missile Agency,Thor Able I,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure
Project Pilot | NOTS 3,1958-08-22T00:00:00Z,US Navy,Project Pilot,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure
Juno-I | Explorer 5,1958-08-24T06:17:22Z,Army Ballistic Missile Agency,Juno-I,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Failure
Project Pilot | NOTS 4,1958-08-25T00:00:00Z,US Navy,Project Pilot,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure
Project Pilot | NOTS 5,1958-08-26T00:00:00Z,US Navy,Project Pilot,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure
Project Pilot | NOTS 6,1958-08-28T00:00:00Z,US Navy,Project Pilot,Naval Air Weapons Station China Lake,Air launch to Suborbital flight,Launch Failure
Vostok-L 8K72 | Luna-1a,1958-09-23T07:40:23Z,Soviet Space Program,Vostok-L 8K72,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Vanguard | Vanguard,1958-09-26T15:38:00Z,US Navy,Vanguard,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Able I | Pioneer 1,1958-10-11T08:42:13Z,Army Ballistic Missile Agency,Thor Able I,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok-L 8K72 | Luna-1b,1958-10-11T21:41:58Z,Soviet Space Program,Vostok-L 8K72,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Juno-I | Beacon,1958-10-23T03:21:04Z,Army Ballistic Missile Agency,Juno-I,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Able I | Pioneer 2,1958-11-08T07:30:21Z,Army Ballistic Missile Agency,Thor Able I,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Failure
Vostok-L 8K72 | Luna-1c,1958-12-04T18:18:45Z,Soviet Space Program,Vostok-L 8K72,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Juno II | Pioneer 3,1958-12-06T05:44:52Z,National Aeronautics and Space Administration,Juno II,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful
Atlas B | SCORE,1958-12-18T23:02:00Z,US Army,Atlas B,Launch Complex 11,"Cape Canaveral SFS, FL, USA",Launch Successful
Vostok-L 8K72 | Luna-1,1959-01-02T16:41:21Z,Soviet Space Program,Vostok-L 8K72,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
Vanguard | Vanguard II,1959-02-17T15:55:00Z,US Navy,Vanguard,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Agena A | Discoverer 1,1959-02-28T21:49:16Z,United States Air Force,Thor Agena A,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Juno II | Pioneer 4,1959-03-03T05:10:56Z,National Aeronautics and Space Administration,Juno II,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Agena A | Discoverer 2,1959-04-13T21:18:39Z,United States Air Force,Thor Agena A,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Vanguard | Vanguard,1959-04-14T02:49:46Z,US Navy,Vanguard,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Agena A | Discoverer 3,1959-06-03T20:09:20Z,United States Air Force,Thor Agena A,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Failure
Vostok-L 8K72 | Luna-2a,1959-06-18T08:08:00Z,Soviet Space Program,Vostok-L 8K72,1/5,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
Vanguard | Vanguard,1959-06-22T20:16:09Z,US Navy,Vanguard,Launch Complex 18A,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Agena A | Discoverer 4,1959-06-25T22:47:45Z,United States Air Force,Thor Agena A,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Failure
Juno II | NASA S-1,1959-07-16T17:37:03Z,National Aeronautics and Space Administration,Juno II,Launch Complex 5,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Able III | Explorer 6,1959-08-07T14:24:20Z,United States Air Force,Thor Able III,Space Launch Complex 17A,"Cape Canaveral SFS, FL, USA",Launch Successful
Thor Agena A | Discoverer 5,1959-08-13T19:00:08Z,United States Air Force,Thor Agena A,Space Launch Complex 1W,"Vandenberg SFB, CA, USA",Launch Successful
Juno II | Beacon,1959-08-15T00:31:00Z,National Aeronautics and Space Administration,Juno II,Launch Complex 26B,"Cape Canaveral SFS, FL, USA",Launch Failure
Thor Agena A | Discoverer 6,1959-08-19T19:24:44Z,United States Air Force,Thor Agena A,Space Launch Complex 1E,"Vandenberg SFB, CA, USA",Launch Successful
Little Joe | LJ-1,1959-08-21T12:00:00Z,National Aeronautics and Space Administration,Little Joe,Launch Area 1,"Wallops Flight Facility, Virginia, USA",Launch Failure
Atlas LV-3B | Big Joe 1,1959-09-09T08:19:00Z,National Aeronautics and Space Administration,Atlas LV-3B,Space Launch Complex 14,"Cape Canaveral SFS, FL, USA",Launch was a Partial Failure
